GRCh38,"NC_000001.11 Homo sapiens chromosome 1, GRCh38.p14 Primary Assembly"
GCA_000968465.1,"LASP01000001.1 Anaplasma phagocytophilum strain HGE1 mutant DU1.contig.0_1, whole genome shotgun sequence"
GCA_017298815.1,"CP071202.1 Serratia marcescens subsp. marcescens ATCC 13880 substr. Sm_S97_jyu2015 chromosome, complete genome"
GCA_000816425.1,"CP007778.1 Campylobacter lari RM16712 chromosome, complete genome"
GCA_022220345.1,"CP092025.1 Campylobacter coli strain 14158-6 chromosome, complete genome"
GCA_013750595.1,"CP056567.1 Klebsiella oxytoca strain RHBSTW-00373 chromosome, complete genome"
GCA_016128275.1,"CP066089.1 Citrobacter koseri strain FDAARGOS_1029 chromosome, complete genome"
GCA_000766665.1,"CP007669.1 Moraxella catarrhalis strain 25239, complete genome"
GCA_015277405.1,"JACTLX010000010.1 Listeria welshimeri strain FSL W9-0234 NODE_10_length_1905_cov_810.380197, whole genome shotgun sequence"
GCA_902499135.1,"CABVPR010000001.1 Burkholderia dolosa isolate LMG 18943 genome assembly, contig: 1, whole genome shotgun sequence"
GCA_902373555.1,"CABKMR010000001.1 Finegoldia magna isolate MGYG-HGUT-01291 genome assembly, contig: NC_010376.1, whole genome shotgun sequence"
GCA_016756175.1,"AP024262.1 Mycobacterium intracellulare M025 DNA, complete genome"
GCA_000413475.1,"ATFK01000001.1 Streptococcus intermedius SK54 = ATCC 27335 acKdV-supercont1.1, whole genome shotgun sequence"
GCA_937922505.1,"CALAKB010000001.1 MAG TPA_asm: Acidaminococcus fermentans isolate ERR1305892_bin.3_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1749074.1149, whole genome shotgun sequence"
GCA_934838025.1,"CAKWDM010000001.1 MAG: Dialister invisus isolate MTG225_bin.45.fa genome assembly, contig: NODE_1_length_127431_cov_3.841623, whole genome shotgun sequence"
GCA_901875315.1,"CABFMC010000001.1 Rothia dentocariosa isolate Rothia_dentocariosa_BgEED26 genome assembly, contig: NODE_10_length_5417_cov_81491386, whole genome shotgun sequence"
GCA_905365335.1,"CAJPIV010000001.1 MAG: Corynebacterium matruchotii isolate ERZ1645004-mag-bin.1 genome assembly, contig: ERZ1645004-mag-bin.5, whole genome shotgun sequence"
GCA_905373265.1,"CAJPRX010000001.1 MAG: Capnocytophaga sputigena isolate SRR9217453-mag-bin.1 genome assembly, contig: SRR9217453-mag-bin.1_1, whole genome shotgun sequence"
GCA_916050165.1,"CAJZKC010000001.1 MAG TPA_asm: Gemella sanguinis isolate ERR2764795_bin.1_metaWRAP_v1.1_MAG genome assembly, contig: ERZ1674042.61, whole genome shotgun sequence"
GCA_945897915.1,"CAMDGB010000001.1 MAG: Chryseobacterium gleum isolate MiH-16apr19-196 genome assembly, contig: MiH-16apr19-C60, whole genome shotgun sequence"
GCA_900636265.1,"LR134244.1 Staphylococcus warneri strain NCTC7291 genome assembly, chromosome: 1"
GCA_938024195.1,"CALJBS010000001.1 MAG TPA_asm: Helicobacter winghamensis isolate ERR209569_bin.10_CONCOCT_v1.1_MAG genome assembly, contig: ERZ501383.4446, whole genome shotgun sequence"
GCA_915066145.1,"CAJZDR010000001.1 MAG TPA_asm: Cardiobacterium hominis isolate SRR1045097_bin.11_metaWRAP_v1.1_MAG genome assembly, contig: NODE_430_length_14043_cov_3.398556, whole genome shotgun sequence"
GCA_014138165.1,"JACGXG010000001.1 Brucella intermedia strain RH4WT92 Ga0326524_01, whole genome shotgun sequence"
GCA_019048685.1,"CP077398.1 Acinetobacter nosocomialis strain FDAARGOS 1395 chromosome, complete genome"
GCA_905371775.1,"CAJPMP010000001.1 MAG: Gemella morbillorum isolate SRR9217391-mag-bin.6 genome assembly, contig: SRR9217391-mag-bin.6_79, whole genome shotgun sequence"
GCA_022809695.1,"CP094445.1 Acinetobacter junii strain A2-1 chromosome, complete genome"
GCA_000463395.1,"CP003800.1 Streptococcus constellatus subsp. pharyngis C232, complete genome"
GCA_014228055.1,"JAARXG010000001.1 Listeria marthii strain FSL L7-0367 NODE_1_length_922566_cov_101.878723, whole genome shotgun sequence"
GCA_000507825.1,"KI669419.1 Prevotella nigrescens CC14M genomic scaffold addSU-supercont1.1, whole genome shotgun sequence"
GCA_000270145.1,"AP012053.1 Streptococcus gallolyticus subsp. gallolyticus ATCC 43143 DNA, complete genome"
GCA_902387635.1,"LR699006.1 Citrobacter freundii isolate MGYG-HGUT-02495 genome assembly, chromosome: 1"
GCA_900460915.1,"UAVS01000001.1 Capnocytophaga ochracea strain NCTC11545 genome assembly, contig: ERS1869781SCcontig000001, whole genome shotgun sequence"
GCA_938043975.1,"CALIQW010000001.1 MAG TPA_asm: Prevotella salivae isolate ERR589711_bin.98_CONCOCT_v1.1_MAG genome assembly, contig: ERZ773254.5436, whole genome shotgun sequence"
GCA_016725825.1,"CP068215.1 Enterobacter hormaechei strain FDAARGOS_1078 chromosome, complete genome"
GCA_014158455.1,"AP022013.1 Aeromonas caviae DNA, complete genome, strain: WP3-S18-ESBL-02"
GCA_020858715.1,"PKPE01000001.1 Leuconostoc pseudomesenteroides strain TMW21195 Leuconostoc_mesenteroides_TMW21195_seq1, whole genome shotgun sequence"
GCA_022966105.1,"CP091099.1 Pantoea agglomerans strain Pa58 chromosome, complete genome"
GCA_918420915.1,"OU917094.1 Mycobacterium canettii isolate Percy1004 genome assembly, chromosome: McanPercy1004, whole genome shotgun sequence"
GCA_016887545.1,"CP069389.1 Mammaliicoccus sciuri strain GDQ20D70P chromosome, complete genome"
GCA_000333755.1,"CANP01000056.1 Legionella anisa str. Linanisette WGS project CANP00000000 data, contig 00056, whole genome shotgun sequence"
GCA_905237035.1,"CAJNNR010000001.1 Streptococcus lutetiensis isolate BR_UFV03 genome assembly, contig: NODE_1_length_1463551_cov_19.2779_ID_410, whole genome shotgun sequence"
GCA_000523695.1,"JAOB01000001.1 Mycobacterium xenopi 4042 GMX4042.contig.0, whole genome shotgun sequence"
GCA_011754335.1,"JAAQVZ010000001.1 Escherichia sp. E.sYA108 1, whole genome shotgun sequence"
GCA_000826045.1,"CDBC01000001.1 Haemophilus parahaemolyticus G321 genome assembly Haemophilus parahaemolyticus G321, contig contig00001, whole genome shotgun sequence"
GCA_916719955.1,"CAKAPR010000001.1 MAG TPA_asm: Prevotella nanceiensis isolate SRR15235667_bin.3_metaWRAP_v1.1_MAG genome assembly, contig: NODE_6_length_213930_cov_11.898586, whole genome shotgun sequence"
GCA_013530535.1,"SPUZ01000012.1 MAG: Acinetobacter gyllenbergii isolate LMO Bin42 scaffold_1024, whole genome shotgun sequence"
GCA_018831105.1,"JAEAGQ010000020.1 Hafnia paralvei strain VBC_1714 plasmid pAlvB NODE_20_length_5343_cov_60.617715, whole genome shotgun sequence"
GCA_902459755.1,"CABPSO010000001.1 Pandoraea pnomenusa strain LMG 31119 genome assembly, contig: 1, whole genome shotgun sequence"
GCA_902499245.1,"CABVQH010000001.1 Burkholderia lata isolate R-18109 genome assembly, contig: 1, whole genome shotgun sequence"
GCA_016755955.1,"AP024259.1 Mycobacterium paraintracellulare M021 DNA, complete genome"
GCA_900604505.1,"UWOQ01000012.1 [Propionibacterium] humerusii strain Marseille-P5998 genome assembly, contig: contig00012, whole genome shotgun sequence"
GCA_000153625.1,"CM000440.1 Fusobacterium nucleatum subsp. polymorphum ATCC 10953 chromosome, whole genome shotgun sequence"
GCA_000273605.1,"AKCE01000001.1 Fusobacterium animalis F0419 cont1.1, whole genome shotgun sequence"
GCA_902499205.1,"CABVQP010000001.1 Burkholderia lata isolate R-50215 genome assembly, contig: 1, whole genome shotgun sequence"
GCA_000523065.1,"AUZF01000001.1 Pandoraea pnomenusa strain RB-44 contig1, whole genome shotgun sequence"
GCA_000633215.1,"AYME01000001.1 Microbacterium paraoxydans DH1b Contig1, whole genome shotgun sequence"
GCA_945916015.1,"CAMEGE010000001.1 MAG: Corynebacterium xerosis isolate SRR11489764_bin.3_metaWRAP_v1.3_MAG genome assembly, contig: ERZ11466753.230, whole genome shotgun sequence"
GCA_000320925.1,"BAGI01004460.1 Nocardia terpenica NBRC 100888 DNA, contig: NT4_con4460, whole genome shotgun sequence"
GCA_000710895.1,"BATZ01000065.1 Nocardia otitidiscaviarum IFM 11049 DNA, contig: NOTIT65, whole genome shotgun sequence"
GCA_902362995.1,"CABIYR010000001.1 Corynebacterium propinquum isolate MGYG-HGUT-00081 genome assembly, contig: .15841_8_88.1, whole genome shotgun sequence"
GCA_938021905.1,"CALIFA010000001.1 MAG TPA_asm: Haemophilus parahaemolyticus isolate ERR1474568_bin.54_CONCOCT_v1.1_MAG genome assembly, contig: ERZ651119.9223, whole genome shotgun sequence"
GCA_910585945.1,"CAJUHZ010000001.1 MAG TPA_asm: uncultured Bilophila sp. isolate MGBC136875 genome assembly, contig: MGBC136875.1, whole genome shotgun sequence"
GCA_023757925.1,"CP092454.1 Acinetobacter sp. AHP123 chromosome, complete genome"
GCA_902388255.1,"CABMON010000001.1 Megasphaera elsdenii isolate MGYG-HGUT-02547 genome assembly, contig: GUT_GENOME147777_1, whole genome shotgun sequence"
GCA_905237045.1,"CAJNNQ010000001.1 Streptococcus lutetiensis isolate BR_UFV05 genome assembly, contig: NODE_1_length_1460340_cov_13.5178_ID_513, whole genome shotgun sequence"
GCA_900460785.1,"UFVD01000002.1 Campylobacter sputorum biovar sputorum strain NCTC12475 genome assembly, contig: ERS1826220SCcontig000002, whole genome shotgun sequence"
GCA_000934145.1,"BBTT01000026.1 Acinetobacter ursingii DNA, contig: Aur02S_CON00026, strain: NBRC 110511, whole genome shotgun sequence"
GCA_000174215.1,"ACGB01000079.1 Acidaminococcus intestini strain D21 cont1.79, whole genome shotgun sequence"
GCA_902375045.1,"CABKSM010000001.1 Cutibacterium avidum isolate MGYG-HGUT-01446 genome assembly, contig: NZ_KE340299.1, whole genome shotgun sequence"
GCA_019243235.1,"CP066133.1 Morganella morganii strain FAM24675 chromosome, complete genome"
GCA_016127235.1,"CP065992.1 Enterococcus hirae strain FDAARGOS_1057 chromosome, complete genome"
GCA_918428045.1,"OU917819.1 Mycobacterium canettii isolate Percy1130 genome assembly, chromosome: McanPercy1130, whole genome shotgun sequence"
GCA_014634725.1,"BMBO01000001.1 Leuconostoc pseudomesenteroides 17-2 DNA, contig1, whole genome shotgun sequence"
GCA_014168635.1,"AP021927.1 Aeromonas caviae DNA, complete genome, strain: WP2-W18-ESBL-01"
GCA_900451155.1,"UGJI01000005.1 Kingella kingae strain NCTC10746 genome assembly, contig: ERS1613577SCcontig000005, whole genome shotgun sequence"
GCA_017306915.1,"JAFKHG010000110.1 MAG: Dysgonomonas mossii isolate SCN18_14_9_16_R4_B_38_12 SCN18_14_9_16_R4_B_scaffold_100, whole genome shotgun sequence"
GCA_000336235.1,"ADGJ01000001.1 Prevotella nigrescens F0103 abVga-supercont1.1, whole genome shotgun sequence"
GCA_021029825.1,"JAIQYR010000010.1 Listeria marthii strain UTK_C1-0017-E1 NODE_10_length_1791_cov_579.809802, whole genome shotgun sequence"
GCA_000474135.1,"BASX01000066.1 Streptococcus constellatus subsp. pharyngis SK1060 = CCUG 46377 DNA, contig: contig66, whole genome shotgun sequence"
GCA_938014115.1,"CALLSN010000001.1 MAG TPA_asm: Bilophila wadsworthia isolate ERR3160563_bin.110_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1310033.414, whole genome shotgun sequence"
GCA_000338875.1,"AOMO01000001.1 Vibrio mimicus CAIM 602 contig_1, whole genome shotgun sequence"
GCA_017877315.1,"JAGIPQ010000001.1 Acinetobacter calcoaceticus strain CC170 Ga0451198_01, whole genome shotgun sequence"
GCA_916050455.1,"CAJZKW010000001.1 MAG TPA_asm: Actinomyces graevenitzii isolate ERR2764871_bin.3_metaWRAP_v1.1_MAG genome assembly, contig: ERZ1674058.3, whole genome shotgun sequence"
GCA_000270085.1,"AP012027.1 Erysipelothrix rhusiopathiae str. Fujisawa DNA, complete genome"
GCA_905201875.1,"CAJKPR010000001.1 MAG TPA_asm: Fusobacterium ulcerans isolate SRR341588-bin.2 genome assembly, contig: NODE_1_length_331849_cov_9.77305, whole genome shotgun sequence"
GCA_943322955.2,"CALPFW020000001.1 MAG: Chryseobacterium gleum isolate HRS-ES7-bin-157 genome assembly, contig: HRS-ES7-C7, whole genome shotgun sequence"
GCA_927911055.1,"CAKMOS010000001.1 MAG TPA_asm: Capnocytophaga sputigena isolate ERR3827271_bin.3_metaWRAP_v1.1_MAG genome assembly, contig: ERZ4768190.355, whole genome shotgun sequence"
GCA_943914495.1,"CALUCG010000001.1 MAG: Dialister invisus isolate da6yrKMu1g_bin.19.MAG genome assembly, contig: NODE_90_length_105980_cov_6.361718, whole genome shotgun sequence"
GCA_945915305.1,"CAMEFB010000001.1 MAG: Acidaminococcus fermentans isolate SRR11489758_bin.77_metaWRAP_v1.3_MAG genome assembly, contig: ERZ11466796.8, whole genome shotgun sequence"
GCA_013923185.1,"CP058057.1 Escherichia fergusonii strain RHB02-C22 chromosome, complete genome"
GCA_016756135.1,"AP024245.1 Mycobacterium intracellulare M006 DNA, complete genome"
GCA_902168565.1,"CABHPT010000001.1 Yersinia bercovieri isolate IP39738 genome assembly, contig: contig_0056, whole genome shotgun sequence"
GCA_020297555.1,"JAIWZG010000002.1 Finegoldia magna strain FDAARGOS_1521 ctg.s1.000000F_arrow_pilon, whole genome shotgun sequence"
GCA_902829575.1,"CADEQN010000001.1 TPA_asm: Burkholderia dolosa, BCC0306, WGS project CADEQN010000000 data, contig: B_dolosa_BCC0306_ERS785034_SC_contig000001, whole genome shotgun sequence"
GCA_905175335.2,"HG992751.1 Vibrio sp. B1FIG11 isolate LMG10946-nano genome assembly, chromosome: 1"
GCA_016881625.1,"RBYA01000001.1 Listeria seeligeri strain Ls13-005 Listeria_seeligeri_Ls13_005_Contig01, whole genome shotgun sequence"
GCA_014527315.1,"JABXLI010000012.1 Listeria ivanovii strain F5999 NODE_10_length_1351_cov_102.33_ID_19, whole genome shotgun sequence"
GCA_015275705.1,"JACTIQ010000010.1 Listeria welshimeri strain FSL W9-0991 NODE_10_length_1310_cov_593.413625, whole genome shotgun sequence"
GCA_013826985.1,"CP057330.1 Klebsiella oxytoca strain RHB30-C02 chromosome, complete genome"
GCA_016772335.1,"CP044436.1 Proteus mirabilis strain C55 chromosome, complete genome"
GCA_000816385.2,"CP007776.2 Campylobacter lari CCUG 22395 chromosome, complete genome"
GCA_017298855.1,"CP071206.1 Serratia marcescens subsp. marcescens ATCC 13880 substr. Sm_S71_jyu2015 chromosome, complete genome"
GCA_900447145.1,"UFXB01000002.1 Clostridium tetani strain NCTC540 genome assembly, contig: ERS1487949SCcontig000003, whole genome shotgun sequence"
GCA_018279565.1,"CP025202.1 Listeria innocua strain WSLC_2021_parental chromosome, complete genome"
GCA_900107315.1,"FNPN01000052.1 Bacteroides uniformis strain DSM 6597 genome assembly, contig: Ga0131214_152, whole genome shotgun sequence"
GCA_016727325.1,"CP068128.1 Enterococcus casseliflavus strain FDAARGOS_1121 chromosome, complete genome"
GCA_016603085.1,"JACTRR010000009.1 Francisella philomiragia strain F1146 philomiragia_10, whole genome shotgun sequence"
GCA_000195535.1,"CP002557.1 Francisella cf. novicida Fx1, complete genome"
GCA_902170425.1,"CABHXR010000001.1 Yersinia kristensenii isolate IP38952 genome assembly, contig: contig_0056, whole genome shotgun sequence"
GCA_901542365.1,"LR594034.1 Streptococcus dysgalactiae subsp. equisimilis strain NCTC8546 genome assembly, chromosome: 1"
GCA_000600055.1,"CP006961.1 Brucella suis bv. 1 str. S2 chromosome I, complete sequence"
GCA_000530495.1,"HG803175.1 Brucella canis str. Oliveri chromosome I, genome"
GCA_000277205.1,"CP003393.1 Rickettsia prowazekii str. BuV67-CWPP, complete genome"
GCA_016103145.1,"JAEDZZ010000001.1 Burkholderia oklahomensis strain FDAARGOS_898 000000F_quiver_pilon, whole genome shotgun sequence"
GCA_000006625.1,"AF222894.1 Ureaplasma parvum serovar 3 str. ATCC 700970, complete genome"
GCA_000169955.1,"AAZT01000005.1 Ureaplasma urealyticum serovar 12 str. ATCC 33696 gcontig_1105428175476, whole genome shotgun sequence"
GCA_018141745.1,"CP073350.1 Porphyromonas gingivalis strain LyG-2 chromosome, complete genome"
GCA_000283775.1,"CP003306.1 Rickettsia rickettsii str. Colombia, complete genome"
GCA_013391365.1,"JACAWZ010000001.1 Ralstonia pickettii strain LB_tupeA Ralstonia_pickettii_LB_tupeA_Contig-01_872658bp, whole genome shotgun sequence"
GCA_000027165.1,"FN568063.1 Streptococcus mitis B6 complete genome, strain B6"
GCA_000834355.1,"CP009757.1 Yersinia pseudotuberculosis strain MD67, complete genome"
GCA_902506705.1,"LR734505.1 Mycobacterium ulcerans strain CSURQ0185 genome assembly, scaffold: scaffold00080, whole genome shotgun sequence"
GCA_900636375.1,"LR134265.1 Streptococcus agalactiae strain NCTC8184 genome assembly, chromosome: 1"
GCA_022494275.1,"CP058771.1 Shigella flexneri strain STLIN_11 chromosome, complete genome"
GCA_000024145.1,"CP001713.1 Chlamydophila pneumoniae LPCoLN, complete genome"
GCA_000359205.2,"HG794427.1 Tropheryma whipplei str. Dig7 genomic scaffold, scaffold00001, whole genome shotgun sequence"
GCA_018336675.1,"CP050029.1 Listeria monocytogenes strain CH3K- chromosome, complete genome"
GCA_020138395.1,"CP075912.1 Clostridium perfringens strain CPLi 6-1 chromosome, complete genome"
GCA_000359225.2,"HG794428.1 Tropheryma whipplei str. Dig10 genomic scaffold, scaffold00001, whole genome shotgun sequence"
GCA_000091085.2,"AE002161.1 Chlamydophila pneumoniae AR39, complete genome"
GCA_022354325.1,"CP055194.1 Shigella flexneri strain STEFF_10 chromosome, complete genome"
GCA_900683785.1,"CAACYK010000001.1 Mycobacterium ulcerans strain P7741 genome assembly, contig: contig00001, whole genome shotgun sequence"
GCA_000834435.1,"CP009786.1 Yersinia pseudotuberculosis strain 1, complete genome"
GCA_900215545.1,"OCRO01000002.1 Delftia acidovorans strain ATCC 11299b genome assembly, contig: Ga0105834_12, whole genome shotgun sequence"
GCA_000607165.1,"JFZG01000001.1 Ralstonia pickettii strain SSH4 contig00001, whole genome shotgun sequence"
GCA_000283815.1,"CP003309.1 Rickettsia rickettsii str. Hino, complete genome"
GCA_900327225.1,"OUNA01000008.1 Orientia tsutsugamushi isolate TA763 genome assembly, contig: gnlTA763TA763_8, whole genome shotgun sequence"
GCA_000171375.1,"ABES01000012.1 Ureaplasma parvum serovar 1 str. ATCC 27813 gcontig_1106501367861, whole genome shotgun sequence"
GCA_000171395.1,"ABEV01000005.1 Ureaplasma urealyticum serovar 13 str. ATCC 33698 gcontig_1106518107724, whole genome shotgun sequence"
GCA_000170355.1,"ABBF01000886.1 Burkholderia oklahomensis EO147 PMP6xxBPSxxE0147-886, whole genome shotgun sequence"
GCA_000277225.1,CP003394.1 Rickettsia prowazekii str. Dachau genome
GCA_000740255.1,"CP007719.1 Brucella suis bv. 3 str. 686 chromosome 1, complete sequence"
GCA_000026605.1,"FM204884.1 Streptococcus equi subsp. zooepidemicus H70, complete genome"
GCA_016604395.1,"JACTTT010000009.1 Francisella tularensis subsp. novicida strain F0825 tularensis_10, whole genome shotgun sequence"
GCA_016603745.1,"JACTSW010000009.1 Francisella philomiragia strain F1077 philomiragia_10, whole genome shotgun sequence"
GCA_000767665.1,"CP009495.1 Mycobacterium smegmatis strain INHR1, complete genome"
GCA_020736105.1,"CP085959.1 Corynebacterium diphtheriae strain FDAARGOS_1553 chromosome, complete genome"
GCA_900185655.1,"FYAR01000038.1 Cupriavidus metallidurans isolate NDB2Meth2 genome assembly, contig: gnlMGRRFNDB2M2_8, whole genome shotgun sequence"
GCA_900000025.1,"CCXQ01000001.1 Anaplasma phagocytophilum genome assembly AnapV1, scaffold scaffold6, whole genome shotgun sequence"
GCA_000026025.1,"CR848038.1 Chlamydophila abortus strain S26/3, complete genome"
GCA_017299035.1,"CP071226.1 Serratia marcescens subsp. marcescens ATCC 13880 substr. Sm_S22_jyu2015 chromosome, complete genome"
GCA_021442105.1,"CP090475.1 Staphylococcus haemolyticus strain BC5211 chromosome, complete genome"
GCA_018176875.1,"CP068581.1 Campylobacter coli strain CC19CH075 chromosome, complete genome"
GCA_000816405.1,"CP007777.1 Campylobacter lari RM16701 chromosome, complete genome"
GCA_016766915.1,CP068488.1 Phocaeicola vulgatus strain FDAARGOS_1098 chromosome
GCA_015276505.1,"JACTKB010000010.1 Listeria welshimeri strain FSL W9-0576 NODE_10_length_65148_cov_52.184767, whole genome shotgun sequence"
GCA_014527285.1,"JABXLJ010000011.1 Listeria ivanovii strain H3291 NODE_10_length_84299_cov_35.2476_ID_19, whole genome shotgun sequence"
GCA_937936135.1,"CALGWL010000001.1 MAG TPA_asm: Clostridium novyi isolate ERR1094796_bin.29_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1463032.1687, whole genome shotgun sequence"
GCA_902168485.1,"CABHPW010000001.1 Yersinia bercovieri isolate IP26086 genome assembly, contig: contig_00090, whole genome shotgun sequence"
GCA_020002285.1,"CP079884.1 Escherichia fergusonii strain 6S41-1 chromosome, complete genome"
GCA_934875275.1,"CAKXHC010000001.1 MAG: Dialister invisus isolate MTG241_bin.47.fa genome assembly, contig: NODE_1_length_137802_cov_4.309218, whole genome shotgun sequence"
GCA_916050005.1,"CAJZJL010000001.1 MAG TPA_asm: Capnocytophaga sputigena isolate ERR2764920_bin.4_metaWRAP_v1.1_MAG genome assembly, contig: ERZ1674176.92, whole genome shotgun sequence"
GCA_023277465.1,"CP080457.1 Staphylococcus hominis subsp. hominis strain WiKim0113 chromosome, complete genome"
GCA_000204355.1,"GL883582.1 Gemella haemolysans M341 genomic scaffold supercont1.1, whole genome shotgun sequence"
GCA_000313615.1,"AMZQ01000001.1 Campylobacter showae CSUNSWCD Contig_1, whole genome shotgun sequence"
GCA_945860845.1,"CAMARY010000001.1 MAG: Chryseobacterium gleum isolate GE-03apr19-134 genome assembly, contig: GE-03apr19-C60, whole genome shotgun sequence"
GCA_938039905.1,"CALHWW010000001.1 MAG TPA_asm: Fusobacterium ulcerans isolate ERR1190612_bin.14_CONCOCT_v1.1_MAG genome assembly, contig: ERZ1303446.5128, whole genome shotgun sequence"
GCA_000404205.1,"CP005079.1 Erysipelothrix rhusiopathiae SY1027, complete genome"
GCA_916720025.1,"CAKAPV010000001.1 MAG TPA_asm: Actinomyces graevenitzii isolate SRR15235656_bin.17_metaWRAP_v1.1_MAG genome assembly, contig: NODE_5_length_108194_cov_14.409140, whole genome shotgun sequence"
GCA_000219275.1,"CM001194.1 Acinetobacter lwoffii WJ10621 chromosome, whole genome shotgun sequence"
GCA_021491935.1,"CP090890.1 Acinetobacter junii strain WCO-9 chromosome, complete genome"
GCA_020544425.1,"CP066124.1 Acinetobacter pittii strain 32292 chromosome, complete genome"
GCA_944325205.1,"CALUZI010000001.1 MAG: Bilophila wadsworthia isolate BRZ_AH__bin141 genome assembly, contig: BRZ_AH__NODE_27_length_321798_cov_12.484992, whole genome shotgun sequence"
GCA_015275885.1,"JACTIV010000010.1 Listeria marthii strain FSL W9-0752 NODE_10_length_702_cov_317.908800, whole genome shotgun sequence"
GCA_916439505.1,"CAKAID010000001.1 MAG TPA_asm: Prevotella nigrescens isolate DRR214961_bin.12_metaWRAP_v1.1_MAG genome assembly, contig: BNJU01000801, whole genome shotgun sequence"
GCA_904425445.1,"LR881934.1 Citrobacter freundii strain PSV genome assembly, chromosome: PSV"
GCA_915063725.1,"CAJZDL010000001.1 MAG TPA_asm: Arachnia propionica isolate SRR1045093_bin.10_metaWRAP_v1.1_MAG genome assembly, contig: NODE_7_length_82468_cov_5.777741, whole genome shotgun sequence"
GCA_938021175.1,"CALIHN010000001.1 MAG TPA_asm: Aggregatibacter segnis isolate ERR589365_bin.97_CONCOCT_v1.1_MAG genome assembly, contig: ERZ772754.20730, whole genome shotgun sequence"
GCA_902460335.1,"CABPTQ010000001.1 Streptococcus cristatus strain Marseille-P5794 genome assembly, contig: contig00001, whole genome shotgun sequence"
GCA_918429165.1,"OU917987.1 Mycobacterium canettii isolate Percy1101 genome assembly, chromosome: McanPercy1101, whole genome shotgun sequence"
GCA_021484945.1,"CP090608.1 Burkholderia cepacia strain CMCC(B)23005 chromosome 1, complete sequence"
GCA_000949835.1,"BBUC01000027.1 Acinetobacter ursingii DNA, contig: Aur03S_CON00027, strain: NBRC 110605, whole genome shotgun sequence"
GCA_905236995.1,"CAJNNO010000001.1 Streptococcus lutetiensis isolate BR_UFV01 genome assembly, contig: NODE_1_length_1451917_cov_23.83_ID_464, whole genome shotgun sequence"
GCA_902833035.1,"CADFDW010000001.1 TPA_asm: Burkholderia seminalis, BCC1628, WGS project CADFDW010000000 data, contig: B_seminalis_BCC1628_ERS784906_SC_contig000001, whole genome shotgun sequence"
GCA_000208565.2,"AEME01000001.1 Escherichia sp. TW09308 contig_001, whole genome shotgun sequence"
GCA_019656635.1,"BPMT01000001.1 Pseudomonas alcaligenes KAM436 DNA, contig01, whole genome shotgun sequence"
GCA_016620355.1,"JAEOAR010000001.1 Pluralibacter gergoviae strain H11 Enterobacter_contig_1, whole genome shotgun sequence"
GCA_020594815.1,"JAJDJX010000010.1 Acinetobacter soli strain MTCC 5918 NODE_10_length_149351_cov_363.784, whole genome shotgun sequence"
GCA_017848955.1,"JAFIHC010000060.1 MAG: Pandoraea pnomenusa isolate HJP_bin7 k141_100231, whole genome shotgun sequence"
GCA_902499095.1,"CABVPS010000001.1 Burkholderia lata isolate R-15816 genome assembly, contig: 1, whole genome shotgun sequence"
GCA_022340085.1,"JAHKND010000001.1 Mycobacterium paraintracellulare strain N6-8 N6-8, whole genome shotgun sequence"
GCA_000182945.1,"AABF01000001.1 Fusobacterium vincentii ATCC 49256 Contig0377, whole genome shotgun sequence"
GCA_016587655.1,"BNTF01000001.1 Mycobacterium paraintracellulare M017 DNA, sequence001, whole genome shotgun sequence"
GCA_902499305.1,"CABVPU010000001.1 Burkholderia lata isolate R-15945 genome assembly, contig: 1, whole genome shotgun sequence"
GCA_017306075.1,"JAFKJG010000010.1 MAG: Pandoraea pnomenusa isolate SCN18_26_2_15_R4_B_65_12 SCN18_26_2_15_R4_B_scaffold_1004, whole genome shotgun sequence"
GCA_943914325.1,"CALUBP010000001.1 MAG: Varibaculum cambriense isolate U7I5zckBkD_bin.19.MAG genome assembly, contig: NODE_7_length_259826_cov_38.714826, whole genome shotgun sequence"
GCA_019656555.1,"BPMP01000001.1 Pseudomonas alcaligenes KAM430 DNA, contig01, whole genome shotgun sequence"
GCA_916048365.1,"CAJZHJ010000001.1 MAG TPA_asm: Prevotella nanceiensis isolate ERR2764814_bin.4_metaWRAP_v1.1_MAG genome assembly, contig: ERZ1674031.2, whole genome shotgun sequence"
GCA_927910825.1,"CAKMOG010000001.1 MAG TPA_asm: Haemophilus parahaemolyticus isolate ERR3827332_bin.1_metaWRAP_v1.1_MAG genome assembly, contig: ERZ4768126.330, whole genome shotgun sequence"
GCA_000208585.2,"AEMF01000001.1 Escherichia sp. TW11588 contig_001, whole genome shotgun sequence"
GCA_015224645.1,"CP063769.1 Acinetobacter sp. Ac-14 chromosome, complete genome"
GCA_000732445.1,"JNHE01000001.1 Pseudomonas oleovorans strain MGY01 contig1_scaffold1, whole genome shotgun sequence"
GCA_905237015.1,"CAJNNP010000001.1 Streptococcus lutetiensis isolate BR_UFV02 genome assembly, contig: NODE_1_length_1214823_cov_14.9107_ID_548, whole genome shotgun sequence"
GCA_900446595.1,"UFVG01000002.1 Campylobacter sputorum subsp. bubulus strain NCTC12474 genome assembly, contig: ERS1826218SCcontig000002, whole genome shotgun sequence"
